word,level,cn
cold,g2,冷的
does,g2,做（三单）
don't,g2,不要
fast,g2,快的
first,g2,第一
five,g2,五
found,g2,找到（过去式）
gave,g2,给（过去式）
goes,g2,去（三单）
green,g2,绿色
its,g2,它的
made,g2,制作（过去式）
many,g2,许多
off,g2,脱落;离开
or,g2,或者
pull,g2,拉
read,g2,读
right,g2,右边;正确
sing,g2,唱
sit,g2,坐
sleep,g2,睡觉
tell,g2,告诉
their,g2,他们的
these,g2,这些
those,g2,那些
upon,g2,在…之上
us,g2,我们（宾格）
use,g2,使用
very,g2,非常
wash,g2,洗
which,g2,哪个
why,g2,为什么
wish,g2,希望;祝愿
work,g2,工作
would,g2,将会（委婉）
write,g2,写
your,g2,你的
about,g3,关于
better,g3,更好的
bring,g3,带来
carry,g3,搬运
clean,g3,干净的
cut,g3,剪;切
done,g3,完成
draw,g3,画
drink,g3,喝
eight,g3,八
fall,g3,落下;秋天
far,g3,远的
full,g3,满的
got,g3,得到（过去式）
grow,g3,生长
hold,g3,握住
hot,g3,热的
hurt,g3,受伤
if,g3,如果
keep,g3,保持
kind,g3,善良的;种类
laugh,g3,笑
light,g3,光;轻的
long,g3,长的
much,g3,许多
myself,g3,我自己
never,g3,从不
only,g3,只有
own,g3,自己的
pick,g3,摘;挑
seven,g3,七
shall,g3,将要
show,g3,展示
six,g3,六
small,g3,小的
start,g3,开始
ten,g3,十
today,g3,今天
together,g3,一起
try,g3,尝试
warm,g3,温暖的
apple,noun,苹果
baby,noun,婴儿
back,noun,后背
ball,noun,球
bear,noun,熊
bed,noun,床
bell,noun,铃铛
bird,noun,鸟
birthday,noun,生日
boat,noun,小船
box,noun,盒子
boy,noun,男孩
bread,noun,面包
brother,noun,哥哥;弟弟
cake,noun,蛋糕
car,noun,汽车
cat,noun,猫
chair,noun,椅子
chicken,noun,小鸡
children,noun,孩子们
Christmas,noun,圣诞节
coat,noun,外套
corn,noun,玉米
cow,noun,奶牛
day,noun,白天
dog,noun,狗
doll,noun,玩偶
door,noun,门
duck,noun,鸭子
egg,noun,蛋
eye,noun,眼睛
farm,noun,农场
farmer,noun,农民
father,noun,爸爸
feet,noun,脚（复数）
fire,noun,火
fish,noun,鱼
floor,noun,地板
flower,noun,花
game,noun,游戏
garden,noun,花园
girl,noun,女孩
good-bye,noun,再见
grass,noun,草
ground,noun,地面
hand,noun,手
head,noun,头
hill,noun,小山
home,noun,家
horse,noun,马
house,noun,房子
kitty,noun,小猫
leg,noun,腿
letter,noun,信
man,noun,男人
men,noun,男人们
milk,noun,牛奶
money,noun,钱
morning,noun,早晨
mother,noun,妈妈
name,noun,名字
nest,noun,鸟巢
night,noun,夜晚
paper,noun,纸
party,noun,派对
picture,noun,图画
pig,noun,猪
rabbit,noun,兔子
rain,noun,雨
ring,noun,戒指;铃声
robin,noun,知更鸟
Santa Claus,noun,圣诞老人
school,noun,学校
seed,noun,种子
sheep,noun,绵羊
shoe,noun,鞋
sister,noun,姐姐;妹妹
snow,noun,雪
song,noun,歌
squirrel,noun,松鼠
stick,noun,树枝
street,noun,街道
sun,noun,太阳
table,noun,桌子
thing,noun,东西
time,noun,时间
top,noun,顶端
toy,noun,玩具
tree,noun,树
watch,noun,手表;观看
water,noun,水
way,noun,路
wind,noun,风
window,noun,窗户
wood,noun,木头
