排产号,月,核心词,词型分类,绑定形态,标题草案,备选标题草案,库内撞名,链形建议,画风建议,轮次,状态
B025,M1,song,名词,song,《歌 · Song》,,,空间寻找链,水彩风,1,待产
B026,M1,tree,名词,tree,《树 · Tree》,,,收集链,蜡笔童趣风,1,待产
B027,M1,watch,名词,watch,《手表;观看 · Watch》,,,数数递进链,剪纸风,1,待产
B028,M1,apple,名词,apple,《苹果 · Apple》,,,感官发现链,粉彩风,1,待产
B029,M1,baby,名词,baby,《婴儿 · Baby》,,,位置变换链,简笔矢量风,1,待产
B030,M1,ball,名词,ball,《球 · Ball》,,,模仿扮演链,拼贴风(Eric Carle式),1,待产
B031,M1,bear,名词,bear,《熊 · Bear》,,,时间顺序链,水彩风,1,待产
B032,M1,bed,名词,bed,《床 · Bed》,,,问答链,蜡笔童趣风,1,待产
B033,M1,bell,名词,bell,《铃铛 · Bell》,,,动作空间链,剪纸风,1,待产
B034,M1,bird,名词,bird,《鸟 · Bird》,,,量级递进链,粉彩风,1,待产
B035,M1,birthday,名词,birthday,《生日 · Birthday》,,,过程链,简笔矢量风,1,待产
B036,M1,boat,名词,boat,《小船 · Boat》,,,仪式收束链,拼贴风(Eric Carle式),1,待产
B037,M1,box,名词,box,《盒子 · Box》,,,藏找游戏链,水彩风,1,待产
B038,M1,bread,名词,bread,《面包 · Bread》,,,接力链,蜡笔童趣风,1,待产
B039,M1,brother,名词,brother,《哥哥;弟弟 · Brother》,,,声音反转链,剪纸风,1,待产
B040,M1,cake,名词,cake,《蛋糕 · Cake》,,,自然循环链,粉彩风,1,待产
B041,M1,cat,名词,cat,《猫 · Cat》,,,空间寻找链,简笔矢量风,1,待产
B042,M1,chair,名词,chair,《椅子 · Chair》,,,收集链,拼贴风(Eric Carle式),1,待产
B043,M1,chicken,名词,chicken,《小鸡 · Chicken》,,,数数递进链,水彩风,1,待产
B044,M1,Christmas,名词,christmas,《圣诞节 · Christmas》,,,感官发现链,蜡笔童趣风,1,待产
B045,M1,coat,名词,coat,《外套 · Coat》,,,位置变换链,剪纸风,1,待产
B046,M1,corn,名词,corn,《玉米 · Corn》,,,模仿扮演链,粉彩风,1,待产
B047,M1,cow,名词,cow,《奶牛 · Cow》,,,时间顺序链,简笔矢量风,1,待产
B048,M1,dog,名词,dog,《狗 · Dog》,,,问答链,拼贴风(Eric Carle式),1,待产
B049,M1,doll,名词,doll,《玩偶 · Doll》,,,动作空间链,水彩风,1,待产
B050,M1,door,名词,door,《门 · Door》,,,量级递进链,蜡笔童趣风,1,待产
B051,M1,duck,名词,duck,《鸭子 · Duck》,,,过程链,剪纸风,1,待产
B052,M1,egg,名词,egg,《蛋 · Egg》,,,仪式收束链,粉彩风,1,待产
B053,M1,eye,名词,eye,《眼睛 · Eye》,,,藏找游戏链,简笔矢量风,1,待产
B054,M1,farm,名词,farm,《农场 · Farm》,,,接力链,拼贴风(Eric Carle式),1,待产
B055,M1,farmer,名词,farmer,《农民 · Farmer》,,,声音反转链,水彩风,1,待产
B056,M1,fire,名词,fire,《火 · Fire》,,,自然循环链,蜡笔童趣风,1,待产
B057,M1,fish,名词,fish,《鱼 · Fish》,,,空间寻找链,剪纸风,1,待产
B058,M1,floor,名词,floor,《地板 · Floor》,,,收集链,粉彩风,1,待产
B059,M1,flower,名词,flower,《花 · Flower》,,,数数递进链,简笔矢量风,1,待产
B060,M1,game,名词,game,《游戏 · Game》,,,感官发现链,拼贴风(Eric Carle式),1,待产
B061,M1,garden,名词,garden,《花园 · Garden》,,,位置变换链,水彩风,1,待产
B062,M1,good-bye,名词,good-bye,《再见 · Good-bye》,,,模仿扮演链,蜡笔童趣风,1,待产
B063,M1,grass,名词,grass,《草 · Grass》,,,时间顺序链,剪纸风,1,待产
B064,M1,ground,名词,ground,《地面 · Ground》,,,问答链,粉彩风,1,待产
B065,M1,hill,名词,hill,《小山 · Hill》,,,动作空间链,简笔矢量风,1,待产
B066,M1,horse,名词,horse,《马 · Horse》,,,量级递进链,拼贴风(Eric Carle式),1,待产
B067,M1,kitty,名词,kitty,《小猫 · Kitty》,,,过程链,水彩风,1,待产
B068,M1,leg,名词,leg,《腿 · Leg》,,,仪式收束链,蜡笔童趣风,1,待产
B069,M1,milk,名词,milk,《牛奶 · Milk》,《一个牛奶 · Milk》,/home/luo/作品/M_is_for_Milk/M_is_for_Milk_生图提示词.md,藏找游戏链,剪纸风,1,待产
B070,M1,money,名词,money,《钱 · Money》,,,接力链,粉彩风,1,待产
B071,M1,morning,名词,morning,《早晨 · Morning》,,,声音反转链,简笔矢量风,1,待产
B072,M1,nest,名词,nest,《鸟巢 · Nest》,,,自然循环链,拼贴风(Eric Carle式),1,待产
B073,M1,party,名词,party,《派对 · Party》,,,空间寻找链,水彩风,1,待产
B074,M1,pig,名词,pig,《猪 · Pig》,,,收集链,蜡笔童趣风,1,待产
B075,M1,rabbit,名词,rabbit,《兔子 · Rabbit》,,,数数递进链,剪纸风,1,待产
B076,M1,rain,名词,rain,《雨 · Rain》,,,感官发现链,粉彩风,1,待产
B077,M1,ring,名词,ring,《戒指;铃声 · Ring》,,,位置变换链,简笔矢量风,1,待产
B078,M1,robin,名词,robin,《知更鸟 · Robin》,,,模仿扮演链,拼贴风(Eric Carle式),1,待产
B079,M1,Santa Claus,名词,santa claus,《圣诞老人 · Santa claus》,,,时间顺序链,水彩风,1,待产
B080,M1,seed,名词,seed,《种子 · Seed》,,,问答链,蜡笔童趣风,1,待产
B081,M1,sheep,名词,sheep,《绵羊 · Sheep》,,,动作空间链,剪纸风,1,待产
B082,M1,shoe,名词,shoe,《鞋 · Shoe》,,,量级递进链,粉彩风,1,待产
B083,M1,sister,名词,sister,《姐姐;妹妹 · Sister》,,,过程链,简笔矢量风,1,待产
B084,M1,snow,名词,snow,《雪 · Snow》,,,仪式收束链,拼贴风(Eric Carle式),1,待产
B085,M1,squirrel,名词,squirrel,《松鼠 · Squirrel》,,,藏找游戏链,水彩风,1,待产
B086,M1,stick,名词,stick,《树枝 · Stick》,,,接力链,蜡笔童趣风,1,待产
B087,M1,street,名词,street,《街道 · Street》,,,声音反转链,剪纸风,1,待产
B088,M1,sun,名词,sun,《太阳 · Sun》,,,自然循环链,粉彩风,1,待产
B089,M1,table,名词,table,《桌子 · Table》,,,空间寻找链,简笔矢量风,1,待产
B090,M1,thing,名词,thing,《东西 · Thing》,,,收集链,拼贴风(Eric Carle式),1,待产
B091,M1,top,名词,top,《顶端 · Top》,,,数数递进链,水彩风,1,待产
B092,M1,toy,名词,toy,《玩具 · Toy》,,,感官发现链,蜡笔童趣风,1,待产
B093,M1,wind,名词,wind,《风 · Wind》,,,位置变换链,剪纸风,1,待产
B094,M1,window,名词,window,《窗户 · Window》,,,模仿扮演链,粉彩风,1,待产
B095,M1,wood,名词,wood,《木头 · Wood》,,,时间顺序链,简笔矢量风,1,待产
B096,M1,come,动作动词,come,《来 · come》,,,问答链,拼贴风(Eric Carle式),1,待产
B097,M1,find,动作动词,find,《找到 · find》,,,动作空间链,水彩风,1,待产
B098,M1,get,动作动词,get,《得到 · get》,,,量级递进链,蜡笔童趣风,1,待产
B099,M1,go,动作动词,go,《去 · go》,,,过程链,剪纸风,1,待产
B100,M1,look,动作动词,look,《看 · look》,,,仪式收束链,粉彩风,1,待产
B101,M2,down,位置介词,down,《向下 · down》,,,藏找游戏链,简笔矢量风,1,待产
B102,M2,he,人称代词,he,《他 · he》,,,接力链,拼贴风(Eric Carle式),1,待产
B103,M2,her,人称代词,her,《她的 · her》,,,声音反转链,水彩风,1,待产
B104,M2,him,人称代词,him,《他 · him》,,,自然循环链,蜡笔童趣风,1,待产
B105,M2,his,人称代词,his,《他的 · his》,,,空间寻找链,剪纸风,1,待产
B106,M2,how,疑问词,how,《怎样 · how》,,,收集链,粉彩风,1,待产
B107,M2,I,人称代词,i,《我 · I》,,,数数递进链,简笔矢量风,1,待产
B108,M2,in,位置介词,in,《在里面 · in》,,,感官发现链,拼贴风(Eric Carle式),1,待产
B109,M2,into,位置介词,into,《进入 · into》,,,位置变换链,水彩风,1,待产
B110,M2,long,形容词,long,《长的 · long》,,,模仿扮演链,蜡笔童趣风,1,待产
B111,M2,make,动作动词,make,《制作 · make》,,,时间顺序链,剪纸风,1,待产
B112,M2,my,人称代词,my,《我的 · my》,,,问答链,粉彩风,1,待产
B113,M2,on,位置介词,on,《在上面 · on》,,,动作空间链,简笔矢量风,1,待产
B114,M2,one,颜色/数字,one,《一 · one》,,,量级递进链,拼贴风(Eric Carle式),1,待产
B115,M2,out,位置介词,out,《在外面 · out》,,,过程链,水彩风,1,待产
B116,M2,said,动作动词,said,《说 · said》,,,仪式收束链,蜡笔童趣风,1,待产
B117,M2,see,动作动词,see,《看见 · see》,,,藏找游戏链,剪纸风,1,待产
B118,M2,she,人称代词,she,《她 · she》,,,接力链,粉彩风,1,待产
B119,M2,their,人称代词,their,《他们的 · their》,,,声音反转链,简笔矢量风,1,待产
B120,M2,them,人称代词,them,《他们 · them》,,,自然循环链,拼贴风(Eric Carle式),1,待产
B121,M2,they,人称代词,they,《他们 · they》,,,空间寻找链,水彩风,1,待产
B122,M2,two,颜色/数字,two,《二 · two》,,,收集链,蜡笔童趣风,1,待产
B123,M2,up,位置介词,up,《向上 · up》,,,数数递进链,剪纸风,1,待产
B124,M2,use,动作动词,use,《使用 · use》,,,感官发现链,粉彩风,1,待产
B125,M2,we,人称代词,we,《我们 · we》,,,位置变换链,简笔矢量风,1,待产
B126,M2,what,疑问词,what,《什么 · what》,,,模仿扮演链,拼贴风(Eric Carle式),1,待产
B127,M2,when,疑问词,when,《什么时候 · when》,,,时间顺序链,水彩风,1,待产
B128,M2,which,疑问词,which,《哪个 · which》,,,问答链,蜡笔童趣风,1,待产
B129,M2,who,疑问词,who,《谁 · who》,,,动作空间链,剪纸风,1,待产
B130,M2,write,动作动词,write,《写 · write》,,,量级递进链,粉彩风,1,待产
B131,M2,you,人称代词,you,《你 · you》,,,过程链,简笔矢量风,1,待产
B132,M2,your,人称代词,your,《你的 · your》,,,仪式收束链,拼贴风(Eric Carle式),1,待产
B133,M2,around,位置介词,around,《周围 · around》,,,藏找游戏链,水彩风,1,待产
B134,M2,ask,动作动词,ask,《问 · ask》,,,接力链,蜡笔童趣风,1,待产
B135,M2,big,形容词,big,《大的 · big》,,,声音反转链,剪纸风,1,待产
B136,M2,change,动作动词,change,《改变 · change》,,,自然循环链,粉彩风,1,待产
B137,M2,follow,动作动词,follow,《跟随 · follow》,,,空间寻找链,简笔矢量风,1,待产
B138,M2,give,动作动词,give,《给 · give》,,,收集链,拼贴风(Eric Carle式),1,待产
B139,M2,good,形容词,good,《好的 · good》,,,数数递进链,水彩风,1,待产
B140,M2,great,形容词,great,《伟大的 · great》,,,感官发现链,蜡笔童趣风,1,待产
B141,M2,help,动作动词,help,《帮助 · help》,,,位置变换链,剪纸风,1,待产
B142,M2,kind,形容词,kind,《善良的;种类 · kind》,,,模仿扮演链,粉彩风,1,待产
B143,M2,little,形容词,little,《小的 · little》,,,时间顺序链,简笔矢量风,1,待产
B144,M2,live,动作动词,live,《住 · live》,,,问答链,拼贴风(Eric Carle式),1,待产
B145,M2,me,人称代词,me,《我 · me》,,,动作空间链,水彩风,1,待产
B146,M2,move,动作动词,move,《移动 · move》,,,量级递进链,蜡笔童趣风,1,待产
B147,M2,need,动作动词,need,《需要 · need》,,,过程链,剪纸风,1,待产
B148,M2,new,形容词,new,《新的 · new》,,,仪式收束链,粉彩风,1,待产
B149,M2,off,位置介词,off,《脱落;离开 · off》,,,藏找游戏链,简笔矢量风,1,待产
B150,M2,old,形容词,old,《老的;旧的 · old》,,,接力链,拼贴风(Eric Carle式),1,待产
B151,M2,our,人称代词,our,《我们的 · our》,,,声音反转链,水彩风,1,待产
B152,M2,over,位置介词,over,《在…上方 · over》,,,自然循环链,蜡笔童趣风,1,待产
B153,M2,play,动作动词,play,《玩 · play》,,,空间寻找链,剪纸风,1,待产
B154,M2,point,动作动词,point,《指 · point》,,,收集链,粉彩风,1,待产
B155,M2,put,动作动词,put,《放 · put》,,,数数递进链,简笔矢量风,1,待产
B156,M2,read,动作动词,read,《读 · read》,,,感官发现链,拼贴风(Eric Carle式),1,待产
B157,M2,same,形容词,same,《相同的 · same》,,,位置变换链,水彩风,1,待产
B158,M2,show,动作动词,show,《展示 · show》,,,模仿扮演链,蜡笔童趣风,1,待产
B159,M2,small,形容词,small,《小的 · small》,,,时间顺序链,剪纸风,1,待产
B160,M2,spell,动作动词,spell,《拼写 · spell》,,,问答链,粉彩风,1,待产
B161,M2,study,动作动词,study,《学习 · study》,,,动作空间链,简笔矢量风,1,待产
B162,M2,take,动作动词,take,《拿 · take》,,,量级递进链,拼贴风(Eric Carle式),1,待产
B163,M2,tell,动作动词,tell,《告诉 · tell》,,,过程链,水彩风,1,待产
B164,M2,three,颜色/数字,three,《三 · three》,,,仪式收束链,蜡笔童趣风,1,待产
B165,M2,through,位置介词,through,《穿过 · through》,,,藏找游戏链,剪纸风,1,待产
B166,M2,try,动作动词,try,《尝试 · try》,,,接力链,粉彩风,1,待产
B167,M2,turn,动作动词,turn,《转 · turn》,,,声音反转链,简笔矢量风,1,待产
B168,M2,us,人称代词,us,《我们 · us》,,,自然循环链,拼贴风(Eric Carle式),1,待产
B169,M2,want,动作动词,want,《想要 · want》,,,空间寻找链,水彩风,1,待产
B170,M2,where,疑问词,where,《哪里 · where》,,,收集链,蜡笔童趣风,1,待产
B171,M2,why,疑问词,why,《为什么 · why》,,,数数递进链,剪纸风,1,待产
B172,M2,work,动作动词,work,《工作 · work》,,,感官发现链,粉彩风,1,待产
B173,M2,above,位置介词,above,《在上方 · above》,,,位置变换链,简笔矢量风,1,待产
B174,M2,below,位置介词,below,《在下方 · below》,,,模仿扮演链,拼贴风(Eric Carle式),1,待产
B175,M2,between,位置介词,between,《在两者之间 · between》,,,时间顺序链,水彩风,1,待产
B176,M2,carry,动作动词,carry,《搬运 · carry》,,,问答链,蜡笔童趣风,1,待产
B177,M2,close,形容词,close,《近的;关 · close》,,,动作空间链,剪纸风,1,待产
B178,M2,cut,动作动词,cut,《剪;切 · cut》,,,量级递进链,粉彩风,1,待产
B179,M2,eat,动作动词,eat,《吃 · eat》,,,过程链,简笔矢量风,1,待产
B180,M2,four,颜色/数字,four,《四 · four》,,,仪式收束链,拼贴风(Eric Carle式),1,待产
B181,M2,grow,动作动词,grow,《生长 · grow》,,,藏找游戏链,水彩风,1,待产
B182,M2,hard,形容词,hard,《难的;硬的 · hard》,,,接力链,蜡笔童趣风,1,待产
B183,M2,hear,动作动词,hear,《听见 · hear》,,,声音反转链,剪纸风,1,待产
B184,M2,high,形容词,high,《高的 · high》,,,自然循环链,粉彩风,1,待产
B185,M2,last,形容词,last,《最后的 · last》,,,空间寻找链,简笔矢量风,1,待产
B186,M2,late,形容词,late,《晚的 · late》,,,收集链,拼贴风(Eric Carle式),1,待产
B187,M2,leave,动作动词,leave,《离开 · leave》,,,数数递进链,水彩风,1,待产
B188,M2,miss,动作动词,miss,《想念;错过 · miss》,,,感官发现链,蜡笔童趣风,1,待产
B189,M2,near,位置介词,near,《近的 · near》,,,位置变换链,剪纸风,1,待产
B190,M2,open,动作动词,open,《打开 · open》,,,模仿扮演链,粉彩风,1,待产
B191,M2,real,形容词,real,《真的 · real》,,,时间顺序链,简笔矢量风,1,待产
B192,M2,run,动作动词,run,《跑 · run》,,,问答链,拼贴风(Eric Carle式),1,待产
B193,M2,start,动作动词,start,《开始 · start》,,,动作空间链,水彩风,1,待产
B194,M2,stop,动作动词,stop,《停 · stop》,,,量级递进链,蜡笔童趣风,1,待产
B195,M2,talk,动作动词,talk,《谈话 · talk》,,,过程链,剪纸风,1,待产
B196,M2,under,位置介词,under,《在下面 · under》,,,仪式收束链,粉彩风,1,待产
B197,M2,walk,动作动词,walk,《走;散步 · walk》,,,藏找游戏链,简笔矢量风,1,待产
B198,M2,white,颜色/数字,white,《白色 · white》,,,接力链,拼贴风(Eric Carle式),1,待产
B199,M2,young,形容词,young,《年轻的 · young》,,,声音反转链,水彩风,1,待产
B200,M2,best,形容词,best,《最好的 · best》,,,自然循环链,蜡笔童趣风,1,待产
B201,M3,better,形容词,better,《更好的 · better》,,,空间寻找链,剪纸风,1,待产
B202,M3,black,颜色/数字,black,《黑色 · black》,,,收集链,粉彩风,1,待产
B203,M3,blue,颜色/数字,blue,《蓝色 · blue》,,,数数递进链,简笔矢量风,1,待产
B204,M3,brown,颜色/数字,brown,《棕色 · brown》,,,感官发现链,拼贴风(Eric Carle式),1,待产
B205,M3,buy,动作动词,buy,《买 · buy》,,,位置变换链,水彩风,1,待产
B206,M3,call,动作动词,call,《喊;打电话 · call》,,,模仿扮演链,蜡笔童趣风,1,待产
B207,M3,clean,形容词,clean,《干净的 · clean》,,,时间顺序链,剪纸风,1,待产
B208,M3,cold,形容词,cold,《冷的 · cold》,,,问答链,粉彩风,1,待产
B209,M3,draw,动作动词,draw,《画 · draw》,,,动作空间链,简笔矢量风,1,待产
B210,M3,drink,动作动词,drink,《喝 · drink》,,,量级递进链,拼贴风(Eric Carle式),1,待产
B211,M3,eight,颜色/数字,eight,《八 · eight》,,,过程链,水彩风,1,待产
B212,M3,fall,动作动词,fall,《落下;秋天 · fall》,,,仪式收束链,蜡笔童趣风,1,待产
B213,M3,fast,形容词,fast,《快的 · fast》,,,藏找游戏链,剪纸风,1,待产
B214,M3,five,颜色/数字,five,《五 · five》,,,接力链,粉彩风,1,待产
B215,M3,fly,动作动词,fly,《飞 · fly》,,,声音反转链,简笔矢量风,1,待产
B216,M3,full,形容词,full,《满的 · full》,,,自然循环链,拼贴风(Eric Carle式),1,待产
B217,M3,funny,形容词,funny,《有趣的 · funny》,,,空间寻找链,水彩风,1,待产
B218,M3,green,颜色/数字,green,《绿色 · green》,,,收集链,蜡笔童趣风,1,待产
B219,M3,hold,动作动词,hold,《握住 · hold》,,,数数递进链,剪纸风,1,待产
B220,M3,hot,形容词,hot,《热的 · hot》,,,感官发现链,粉彩风,1,待产
B221,M3,jump,动作动词,jump,《跳 · jump》,,,位置变换链,简笔矢量风,1,待产
B222,M3,laugh,动作动词,laugh,《笑 · laugh》,,,模仿扮演链,拼贴风(Eric Carle式),1,待产
B223,M3,pick,动作动词,pick,《摘;挑 · pick》,,,时间顺序链,水彩风,1,待产
B224,M3,pretty,形容词,pretty,《漂亮的 · pretty》,,,问答链,蜡笔童趣风,1,待产
B225,M3,pull,动作动词,pull,《拉 · pull》,,,动作空间链,剪纸风,1,待产
B226,M3,red,颜色/数字,red,《红色 · red》,,,量级递进链,粉彩风,1,待产
B227,M3,ride,动作动词,ride,《骑 · ride》,,,过程链,简笔矢量风,1,待产
B228,M3,round,形容词,round,《圆的 · round》,,,仪式收束链,拼贴风(Eric Carle式),1,待产
B229,M3,seven,颜色/数字,seven,《七 · seven》,,,藏找游戏链,水彩风,1,待产
B230,M3,sing,动作动词,sing,《唱 · sing》,,,接力链,蜡笔童趣风,1,待产
B231,M3,sit,动作动词,sit,《坐 · sit》,,,声音反转链,剪纸风,1,待产
B232,M3,six,颜色/数字,six,《六 · six》,,,自然循环链,粉彩风,1,待产
B233,M3,sleep,动作动词,sleep,《睡觉 · sleep》,,,空间寻找链,简笔矢量风,1,待产
B234,M3,ten,颜色/数字,ten,《十 · ten》,,,收集链,拼贴风(Eric Carle式),1,待产
B235,M3,warm,形容词,warm,《温暖的 · warm》,,,数数递进链,水彩风,1,待产
B236,M3,wash,动作动词,wash,《洗 · wash》,,,感官发现链,蜡笔童趣风,1,待产
B237,M3,wish,动作动词,wish,《希望;祝愿 · wish》,,,位置变换链,剪纸风,1,待产
B238,M3,yellow,颜色/数字,yellow,《黄色 · yellow》,,,模仿扮演链,粉彩风,1,待产
B239,M3,a,Fry具象补充,a,《一个 · a》,,,时间顺序链,简笔矢量风,1,待产
B240,M3,about,Fry具象补充,about,《关于 · about》,,,问答链,拼贴风(Eric Carle式),1,待产
B241,M3,all,Fry具象补充,all,《全部 · all》,,,动作空间链,水彩风,1,待产
B242,M3,am,Fry具象补充,am,《是 · am》,,,量级递进链,蜡笔童趣风,1,待产
B243,M3,an,Fry具象补充,an,《一 · an》,,,过程链,剪纸风,1,待产
B244,M3,and,Fry具象补充,and,《和 · and》,,,仪式收束链,粉彩风,1,待产
B245,M3,are,Fry具象补充,are,《是 · are》,,,藏找游戏链,简笔矢量风,1,待产
B246,M3,as,Fry具象补充,as,《像;作为 · as》,,,接力链,拼贴风(Eric Carle式),1,待产
B247,M3,at,Fry具象补充,at,《在 · at》,,,声音反转链,水彩风,1,待产
B248,M3,be,Fry具象补充,be,《是;成为 · be》,,,自然循环链,蜡笔童趣风,1,待产
B249,M3,been,Fry具象补充,been,《曾经是 · been》,,,空间寻找链,剪纸风,1,待产
B250,M3,but,Fry具象补充,but,《但是 · but》,,,收集链,粉彩风,1,待产
B251,M3,by,Fry具象补充,by,《由;被 · by》,,,数数递进链,简笔矢量风,1,待产
B252,M3,called,Fry具象补充,called,《被称为 · called》,,,感官发现链,拼贴风(Eric Carle式),1,待产
B253,M3,can,Fry具象补充,can,《会;能 · can》,,,位置变换链,水彩风,1,待产
B254,M3,could,Fry具象补充,could,《能够 · could》,,,模仿扮演链,蜡笔童趣风,1,待产
B255,M3,did,Fry具象补充,did,《做 · did》,,,时间顺序链,剪纸风,1,待产
B256,M3,do,Fry具象补充,do,《做 · do》,,,问答链,粉彩风,1,待产
B257,M3,each,Fry具象补充,each,《每一 · each》,,,动作空间链,简笔矢量风,1,待产
B258,M3,first,Fry具象补充,first,《第一 · first》,,,量级递进链,拼贴风(Eric Carle式),1,待产
B259,M3,for,Fry具象补充,for,《为了 · for》,,,过程链,水彩风,1,待产
B260,M3,from,Fry具象补充,from,《从 · from》,,,仪式收束链,蜡笔童趣风,1,待产
B261,M3,had,Fry具象补充,had,《有 · had》,,,藏找游戏链,剪纸风,1,待产
B262,M3,has,Fry具象补充,has,《有 · has》,,,接力链,粉彩风,1,待产
B263,M3,have,Fry具象补充,have,《有 · have》,,,声音反转链,简笔矢量风,1,待产
B264,M3,if,Fry具象补充,if,《如果 · if》,,,自然循环链,拼贴风(Eric Carle式),1,待产
B265,M3,is,Fry具象补充,is,《是 · is》,,,空间寻找链,水彩风,1,待产
B266,M3,it,Fry具象补充,it,《它 · it》,,,收集链,蜡笔童趣风,1,待产
B267,M3,its,Fry具象补充,its,《它的 · its》,,,数数递进链,剪纸风,1,待产
B268,M3,like,Fry具象补充,like,《喜欢;像 · like》,,,感官发现链,粉彩风,1,待产
B269,M3,made,Fry具象补充,made,《制作 · made》,,,位置变换链,简笔矢量风,1,待产
B270,M3,many,Fry具象补充,many,《许多 · many》,,,模仿扮演链,拼贴风(Eric Carle式),1,待产
B271,M3,may,Fry具象补充,may,《可以 · may》,,,时间顺序链,水彩风,1,待产
B272,M3,more,Fry具象补充,more,《更多 · more》,,,问答链,蜡笔童趣风,1,待产
B273,M3,no,Fry具象补充,no,《不 · no》,,,动作空间链,剪纸风,1,待产
B274,M3,not,Fry具象补充,not,《不 · not》,,,量级递进链,粉彩风,1,待产
B275,M3,now,Fry具象补充,now,《现在 · now》,,,过程链,简笔矢量风,1,待产
B276,M3,number,Fry具象补充,number,《数字 · number》,,,仪式收束链,拼贴风(Eric Carle式),1,待产
B277,M3,of,Fry具象补充,of,《…的 · of》,,,藏找游戏链,水彩风,1,待产
B278,M3,or,Fry具象补充,or,《或者 · or》,,,接力链,蜡笔童趣风,1,待产
B279,M3,other,Fry具象补充,other,《其他的 · other》,,,声音反转链,剪纸风,1,待产
B280,M3,part,Fry具象补充,part,《部分 · part》,,,自然循环链,粉彩风,1,待产
B281,M3,people,Fry具象补充,people,《人们 · people》,,,空间寻找链,简笔矢量风,1,待产
B282,M3,so,Fry具象补充,so,《所以 · so》,,,收集链,拼贴风(Eric Carle式),1,待产
B283,M3,some,Fry具象补充,some,《一些 · some》,,,数数递进链,水彩风,1,待产
B284,M3,than,Fry具象补充,than,《比 · than》,,,感官发现链,蜡笔童趣风,1,待产
B285,M3,that,Fry具象补充,that,《那个 · that》,,,位置变换链,剪纸风,1,待产
B286,M3,the,Fry具象补充,the,《定冠词 · the》,,,模仿扮演链,粉彩风,1,待产
B287,M3,then,Fry具象补充,then,《然后 · then》,,,时间顺序链,简笔矢量风,1,待产
B288,M3,there,Fry具象补充,there,《那里 · there》,,,问答链,拼贴风(Eric Carle式),1,待产
B289,M3,these,Fry具象补充,these,《这些 · these》,,,动作空间链,水彩风,1,待产
B290,M3,this,Fry具象补充,this,《这个 · this》,,,量级递进链,蜡笔童趣风,1,待产
B291,M3,to,Fry具象补充,to,《到 · to》,,,过程链,剪纸风,1,待产
B292,M3,was,Fry具象补充,was,《是 · was》,,,仪式收束链,粉彩风,1,待产
B293,M3,were,Fry具象补充,were,《是 · were》,,,藏找游戏链,简笔矢量风,1,待产
B294,M3,will,Fry具象补充,will,《将要 · will》,,,接力链,拼贴风(Eric Carle式),1,待产
B295,M3,with,Fry具象补充,with,《和…一起 · with》,,,声音反转链,水彩风,1,待产
B296,M3,words,Fry具象补充,words,《词 · words》,,,自然循环链,蜡笔童趣风,1,待产
B297,M3,would,Fry具象补充,would,《将会 · would》,,,空间寻找链,剪纸风,1,待产
B298,M3,after,Fry具象补充,after,《在…之后 · after》,,,收集链,粉彩风,1,待产
B299,M3,again,Fry具象补充,again,《又;再 · again》,,,数数递进链,简笔矢量风,1,待产
